3/2,21344.08
3/3,21082.73
3/4,21100.06
3/5,21329.12
3/6,20749.75
3/9,19698.76
3/10,19867.12
3/11,19416.06
3/12,18559.63
3/13,17431.05
3/16,17002.04
3/17,17011.53
3/18,16726.55
3/19,16552.83
3/23,16887.78
3/24,18092.35
3/25,19546.63
3/26,18664.6
3/27,19389.43
3/30,19084.97
3/31,18917.01
